,2010,,,,,,,,,,,2015,,,,,,,,
Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF,,Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF
Sum,"49,601,144.32","81,553,992.71","81,989,587.10",830035.6111,"461,983.03",100912.8024,"2,388,539.47",N/A - no model,"1,728,561.57",,Sum,"40,095,338.00","55,757,351.77","64,947,015.82",685784.8747,"436,282.02",95936.22469,"1,906,408.98",990179.8621,"1,228,774.02"
Afghanistan,"424,662.00","203,229.00","24,041.45",12940.66993,227.23,213.5335883,0,,0,,Afghanistan,"199,258.79","277,055.27","10,752.55",15161.43194,266.75,238.2489251,0,0,0
Albania,"2,210.93",3.62,"2,035.05",1.558569169,0,0,0,,0,,Albania,373.97,0,98.5,0.967039267,0,0,0,0,0
Algeria,"100,018.00",9.12,"48,627.20",157.1119406,0.38,1.574885998,"5,615.93",,0,,Algeria,"57,181.59",242.21,"11,586.04",140.4627138,0.43,1.57519915,"5,620.39",0,0
American Samoa,,,0,0,0,0,0,,121.68,,American Samoa,29.19,0.83,28.52,0,0,0,0,0,141.12
Andorra,28.58,0.06,0,0,0,0,0,,0,,Andorra,9.15,0,83.37,0,0,0,0,0,0
Angola,"282,554.00","4,207.70","664,303.09","13,881","5,387.66",672.17,"28,347.68",,"21,679.42",,Angola,"301,773.79","1,272,263.88","648,951.40",6997.931384,"6,115.16",798.49,"27,389.73",6916.408272,"25,930.45"
Anguilla,,,0,0,0,0,0,,0,,Anguilla,n/a,,0,0,0,0,0,0,0
Antigua and Barbuda,35.14,0.07,398.28,0.053041643,0,0,19.5,,0,,Antigua and Barbuda,24.15,0,413.85,0.045311702,0,0,21.36,0,0
Argentina,"35,133.00",37.79,"90,351.03",203.1106771,733.32,1.44,0,,0,,Argentina,"19,493.82",216.76,"78,326.48",188.1991316,728.15,1.41535999,0,0,0
Armenia,"6,661.82",1,"6,542.66",1.215634343,0.08,0,0,,0,,Armenia,"4,161.80",0,776.95,0.927757931,0.07,0,0,0,0
Aruba,,,0,0,0,0,0,,0,,Aruba,n/a,,0,0,0,0,0,0,0
Australia,"2,280.60",80.38,"8,155.93",0,0,0,0,,0,,Australia,"1,285.61",0,"4,843.38",0,0,0,0,0,0
Austria,"1,806.32",2.24,"3,843.56",0,0,0,0,,0,,Austria,"1,079.62",0,"2,459.37",0,0,0,0,0,0
Azerbaijan,"36,243.90",12.16,"7,728.93",29.03688956,0.09,0,0,,0,,Azerbaijan,"32,612.43",72.21,"5,023.64",16.1500191,0.1,0,0,0,0
Bahamas,257.69,0.5,0,0.149592894,0,0,0,,0,,Bahamas,300.48,0,0,0.139148316,0,0,0,0,0
Bahrain,"1,121.14",0.6,"3,566.45",0,0.01,0,0,,0,,Bahrain,462.12,0,"1,010.22",0,0.01,0,0,0,0
Bangladesh,"1,207,620.00","191,646.00","11,816.73","57,552","38,272.09","10,803.15",0,,"126,079.52",,Bangladesh,"673,373.93","139,506.79","14,639.53",44607.83106,"31,693.03","9,654.97",0,0,"7,650.30"
Barbados,78.89,0.31,"2,047.09",0,0,0,0,,0,,Barbados,78.7,0,"1,147.37",0,0,0,0,0,0
Belarus,"32,962.20",25.42,"12,746.90",0,0,0,0,,0,,Belarus,"16,549.66",0,"25,579.96",0,0,0,0,0,0
