,2010,,,,,,,,,,,2013,,,,,,,,
Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF,,Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF
Sum,"102,699,861.98","133,388,231.63","85,893,506.16","1,097,954.47","488,172.33","102,800.95","2,558,480.23",N/A - No model,"1,733,239.85",,Sum,"93,168,784.97","84,258,709.76","75,594,571.12","825,876.88","501,955.82","100,451.78","2,123,540.67","1,098,948.30","1,363,719.78"
Afghanistan,"527,191.44","203,230.77","27,121.65","12,940.67",227.23,213.53,0,,0,,Afghanistan,"866,910.96","115,952.04","6,944.87","50,296.93",248.93,265.86,0,0,0
Albania,"2,210.93",3.62,"2,035.05",1.56,0,0,0,,0,,Albania,"1,827.78",0,85.12,1.06,0,0,0,0,0
Algeria,"100,049.82",9.12,"48,627.20",157.11,0.38,1.57,"5,615.93",,0,,Algeria,"116,400.07",718.42,"4,317.89",143.26,0.4,1.5,"5,580.51",0,0
American Samoa,"242,203.47","1,698.59","48,409.87",0,"1,040.53",35.76,582.27,,121.68,,American Samoa,0,0,109.74,0,0,0,0,0,133.03
Andorra,28.58,0.06,0,0,0,0,0,,0,,Andorra,0,0,62.38,0,0,0,0,0,0
Angola,"282,581.85","4,207.70","664,315.45","13,881.11","5,387.66",672.17,"28,347.68",,"21,679.42",,Angola,"717,505.59","1,172,228.03","682,197.68","9,094.41","7,449.26",794.12,"28,143.71","7,039.14","24,122.74"
Anguilla,"31,009.56",1.09,"1,207.82",0,0,0,0,,0,,Anguilla,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,"8,013.65",0.07,656.78,0.05,0,0,19.5,,0,,Antigua and Barbuda,179.54,0,449.37,0.05,0,0,20.37,0,0
Argentina,"35,133.00",37.79,"90,351.03",203.11,733.32,1.44,0,,0,,Argentina,"50,967.12",100,"88,539.27",192.65,734.88,1.42,0,0,0
Armenia,"9,699.01",1,"6,619.58",1.22,0.08,0,0,,0,,Armenia,"11,247.64",0,"1,371.32",1.01,0.07,0,0,0,0
Aruba,"2,214.69",0,2.58,0,0,0,0,,0,,Aruba,0,0,0,0,0,0,0,0,0
Australia,"40,639.01",80.48,"8,574.60",0,0,0,0,,0,,Australia,"4,228.52",0,"5,556.69",0,0,0,0,0,0
Austria,"2,045.14",2.24,"3,843.56",0,0,0,0,,0,,Austria,"2,925.82",0,"3,808.71",0,0,0,0,0,0
Azerbaijan,"37,476.10",12.16,"7,762.07",29.04,0.09,0,0,,0,,Azerbaijan,"67,024.34",0,"2,583.98",20.4,0.09,0,0,0,0
Bahamas,"1,184,430.84","9,527.61",499.54,"5,673.26","2,623.51",269.43,0,,492.56,,Bahamas,0,0,0,0.13,0,0,0,0,0
Bahrain,"1,198.85",0.6,"3,589.74",0,0.01,0,0,,0,,Bahrain,"1,001.21",0,820.21,0,0.01,0,0,0,0
Bangladesh,"1,231,981.86","191,646.00","12,814.99","57,552.27","38,272.09","10,803.15",0,,"126,079.52",,Bangladesh,"1,068,324.13","9,500.00","15,000.84","50,428.98","34,515.94","10,140.48",0,0,"23,380.02"
Barbados,"3,755.40",0.31,"2,072.88",0,0,0,0,,0,,Barbados,493.58,0,"1,207.59",0,0,0,0,0,0
Belarus,"33,525.43",28.47,"13,065.06",0,0,0,0,,0,,Belarus,"48,093.62",0,"20,198.61",0,0,0,0,0,0
Belgium,"101,851.67","1,113,542.31","9,633.66",0,0,0,724.42,,11.47,,Belgium,"4,811.46",0,"4,579.95",0,0,0,0,0,0
Belize,544.3,106.88,"9,661.12",12.16,8.74,0.1,0,,0,,Belize,404.37,119.6,"4,739.88",9.8,5.22,0.07,0,0,0
Benin,"82,135.39","987,389.75","150,485.30","3,214.19",660.14,0.45,"43,694.77",,"8,714.86",,Benin,"162,491.76","777,802.33","148,701.09","2,850.96",702.2,0.48,"37,874.11",452.87,"6,883.03"
Bermuda,"71,508.65",47.74,"2,607.52",0,25.79,0,0,,0,,Bermuda,0,0,388.58,0,0,0,0,0,0
Bhutan,"4,924.34",785.32,"1,764.96",79.53,8.65,0.29,0,,0,,Bhutan,"6,887.71",700,"1,616.30",48.77,8.38,0.27,0,0,0
Bolivia,"73,311.25","1,609.15","60,820.92",633.18,"1,756.42",34.52,0,,0,,Bolivia,"50,571.27",357.91,"28,269.27",490.88,"2,217.68",34.49,0,0,0
"Bonaire, Saint Eustatius and Saba","19,250.08","5,107.26","9,417.20",0,0,0,85.05,,0,,"Bonaire, Saint Eustatius and Saba",0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,"333,766.14",444.87,"30,552.55",0,0,0,"4,569.38",,0,,Bosnia and Herzegovina,"8,343.42",0,155.42,0,0,0,0,0,0
Botswana,"18,661.80","10,480.60","232,000.80",20.87,477.99,95.55,"2,846.63",,0,,Botswana,"89,366.82","12,590.79","374,473.87",17.74,478.38,96.13,"3,294.50",0,0
Brazil,"271,406.21","15,091.60","993,331.86","7,233.14","8,169.70","2,550.35","125,760.32",,218.16,,Brazil,"471,894.12","19,062.47","803,500.44","6,710.30","7,665.10","2,464.51","112,319.62",37.93,38.3
British Virgin Islands,"11,261.04",0,0.66,0,0,0,0,,0,,British Virgin Islands,0,0,0,0,0,0,0,0,0
Brunei Darussalam,"195,325.97","1,637,021.81","3,642.14",0.24,0,0,"10,169.26",,262.35,,Brunei Darussalam,610.64,0,0,0.22,0,0,0,0,0
Bulgaria,"471,140.75","175,418.64","22,566.68",0,"1,144.58",12.95,797.12,,0,,Bulgaria,"9,583.16",0,"2,574.43",0,0,0,0,0,0
Burkina Faso,"400,606.20","3,425,483.80","372,520.81","6,753.38","1,321.85",0.22,"51,504.58",,"32,307.82",,Burkina Faso,"387,528.94","2,692,596.76","253,354.60","6,536.57","1,361.14",0.22,"17,900.95",0,"19,319.22"
Burundi,"542,880.28","2,758,196.25","716,218.51","253,323.57","5,690.84",426.88,"21,453.37",,106.35,,Burundi,"640,119.28","1,159,271.59","246,001.89","3,457.26","10,745.71",193.04,"16,572.71","12,132.84",0
Cambodia,"187,327.11","108,689.00","82,274.85",418.02,193.04,0,"12,310.55",,454.22,,Cambodia,"251,864.73","64,552.17","101,351.96",235.44,67.64,0,"12,277.55",0,830.38
Cameroon,"166,956.95","1,777,879.95","1,548,030.68","28,368.13","4,496.09","2,018.99","56,096.64",,"30,613.69",,Cameroon,"368,815.81","1,927,321.60","1,610,670.25","53,474.63","5,122.93","1,864.74","40,676.75","87,841.97","26,829.93"
Canada,"4,034.36",115.87,"32,963.31",0,0,0,0,,0,,Canada,"6,825.33",0,"22,113.49",0,0,0,0,0,0
Cape Verde,"177,132.98","248,272.89","27,455.76",0.64,114.79,0.51,19.07,,19.07,,Cape Verde,"3,407.80",0,"7,106.74",0.45,0.88,0,0,0,0
Cayman Islands,"193,031.46","611,273.70","37,146.26",0,846.77,0,"1,111.76",,48.84,,Cayman Islands,0,0,0,0,0,0,0,0,0
Central African Republic,"162,232.37","512,419.00","489,346.69","6,695.56","2,210.69",39.11,"4,638.14",,"9,351.99",,Central African Republic,"284,527.96","354,786.54","485,034.67","6,166.43","2,749.29",41.63,"4,224.99","24,178.41","9,963.37"
Chad,"2,122,066.36","941,893.08","539,755.46","6,257.48","4,191.14",0.22,"25,886.26",,"12,226.84",,Chad,"440,103.72","1,018,939.55","636,683.21","5,981.62","6,707.24",0.24,"30,145.62","12,670.53","13,708.89"
Chile,"14,689.90",5.02,"31,277.63",318.15,0.16,11.89,0,,0,,Chile,"28,104.39",0,"26,752.77",314.53,0.12,11.44,0,0,0
China,"1,732,860.00","11,717.30","1,751,701.14","9,505.75","34,728.69","2,068.43","48,561.28",,0,,China,"3,430,310.51","11,891.43","1,115,939.55","7,414.47","30,865.03","1,915.42","34,174.36",0,0
"China, Hong Kong SAR","61,823.01",118.57,"2,466.96",0,0,0,0,,0,,"China, Hong Kong SAR",0,0,0,0,0,0,0,0,0
"China, Macao SAR","11,373.78","16,296.63",0.15,74.16,78.54,10.74,0,,8.72,,"China, Macao SAR",0,0,0,0,0,0,0,0,0
Colombia,"111,459.95","120,896.10","503,576.81","6,238.63","5,992.69","1,879.74",573.67,,67.88,,Colombia,"96,003.28","37,895.01","152,019.04","5,930.99","5,185.68","1,797.85",0,0,0
Comoros,"10,215.30","34,835.70",14.26,160.92,201.38,163.46,0,,"1,067.22",,Comoros,"24,020.79","19,089.11","1,291.65",234.61,304,186.46,0,0,"1,115.85"
